exp: x/lambda	exp: y/lambda	theory: x/lambda	theory: y/lambda
1.695164206	-0.003759017	0.044200629	-0.003709749
1.698932461	-0.008416203	0.053021654	-0.003672006
1.7052214	-0.006233182	0.061856327	-0.00361901
1.713572851	-0.005478386	0.070705211	-0.003550401
1.721641809	-0.007480175	0.079568781	-0.003465919
1.732914407	-0.008596074	0.088447384	-0.00336543
1.734257075	-0.011365618	0.097341249	-0.003248916
1.737444998	-0.008260807	0.106250511	-0.00311645
1.751865297	-0.008298283	0.115175158	-0.002968266
1.749070943	-0.014570501	0.12411511	-0.002804631
1.761430382	-0.011294478	0.13307008	-0.002625999
1.773120886	-0.008411717	0.142039768	-0.00243281
1.779066867	-0.011248306	0.151023693	-0.002225701
1.788196867	-0.005278422	0.160021364	-0.002005293
1.796043116	-0.010223343	0.169032115	-0.001772351
1.795560111	-0.011625387	0.178055216	-0.001527658
1.811735389	-0.010980242	0.1870899	-0.001272067
1.817856096	-0.00832592	0.196135286	-0.001006512
1.81765083	-0.017093274	0.20519046	-0.000731903
1.826634718	-0.014184824	0.214254367	-0.000449303
1.838608429	-0.012711633	0.223326076	-0.000159673
1.84739421	-0.016822549	0.232404391	0.000135854
1.848502342	-0.009241328	0.241488276	0.000436263
1.855339754	-0.014915151	0.25057655	0.000740384
1.866506568	-0.012378372	0.259668063	0.001047159
1.870063501	-0.013052909	0.268761592	0.001355394
1.874285798	-0.01540003	0.277856027	0.00166401
1.889050237	-0.013728218	0.286950095	0.001971801
1.894202733	-0.011337885	0.296042674	0.002277679
1.899177283	-0.014623214	0.305132562	0.002580441
1.901527111	-0.016873686	0.314218628	0.002879004
1.910095904	-0.021110847	0.323299697	0.003172176
1.920978515	-0.013867843	0.33237474	0.003458891
1.928063942	-0.013838145	0.341442642	0.003737997
1.934513575	-0.015867031	0.35050241	0.004008416
1.945554346	-0.013642752	0.359553097	0.004269078
1.951545397	-0.013766595	0.368593793	0.004518917
1.954924054	-0.016733893	0.377623684	0.004756928
1.96647861	-0.016703643	0.386641976	0.004982066
1.972487774	-0.01400005	0.395648015	0.005193366
1.983951461	-0.019538247	0.404641238	0.005389899
1.985256763	-0.014478636	0.413621107	0.005570717
